entailment	Harriet hired Ed.	Someone hired Ed.
entailment	Francis hired Jeff.	Someone hired Jeff.
entailment	Rose called out Steve.	Someone called out Steve.
entailment	Emily praised Linda.	Someone praised Linda.
entailment	Melissa praised Ron.	Someone praised Ron.
entailment	Lynn danced with Suzanne.	Someone danced with Suzanne.
entailment	Eleanor fired Anna.	Someone fired Anna.
entailment	Evelyn danced with Lauren.	Someone danced with Lauren.
entailment	Paul criticised Anna.	Someone criticised Anna.
entailment	Ken invited Lucy.	Someone invited Lucy.
entailment	Angela played with Robin.	Someone played with Robin.
entailment	Susan hired Jean.	Someone hired Jean.
entailment	Eleanor invited Ben.	Someone invited Ben.
entailment	Eric fired Roy.	Someone fired Roy.
entailment	Wendy helped Charlotte.	Someone helped Charlotte.
entailment	Jack praised Cynthia.	Someone praised Cynthia.
entailment	Stephanie invited Howard.	Someone invited Howard.
entailment	Larry married Joan.	Someone married Joan.
entailment	Rebecca married Diane.	Someone married Diane.
entailment	Jessica met Paul.	Someone met Paul.
entailment	Diana slept with Alexandra.	Someone slept with Alexandra.
entailment	Richard helped Pamela.	Someone helped Pamela.
entailment	Emily criticised Rebecca.	Someone criticised Rebecca.
entailment	Maria ate with Claire.	Someone ate with Claire.
entailment	Steve married Greg.	Someone married Greg.
entailment	Sandra fired Karen.	Someone fired Karen.
entailment	Thomas met Ron.	Someone met Ron.
entailment	Ellen met Sharon.	Someone met Sharon.
entailment	Alfred called out Florence.	Someone called out Florence.
entailment	Evelyn played with Roy.	Someone played with Roy.
entailment	Larry ate with Steve.	Someone ate with Steve.
entailment	Fred criticised Robin.	Someone criticised Robin.
entailment	Joseph played with Frederick.	Someone played with Frederick.
entailment	Matthew helped Elaine.	Someone helped Elaine.
entailment	Francis ate with Diane.	Someone ate with Diane.
entailment	Thomas fired Elaine.	Someone fired Elaine.
entailment	George fired Ken.	Someone fired Ken.
entailment	Dan criticised Scott.	Someone criticised Scott.
entailment	Christopher criticised Sharon.	Someone criticised Sharon.
entailment	Harold met Peter.	Someone met Peter.
entailment	Laura called out Wendy.	Someone called out Wendy.
entailment	Ashley invited Alan.	Someone invited Alan.
entailment	Eleanor met Pamela.	Someone met Pamela.
entailment	Don ate with Carol.	Someone ate with Carol.
entailment	Simon slept with Paul.	Someone slept with Paul.
entailment	Pamela liked Jessica.	Someone liked Jessica.
entailment	Christine liked Frederick.	Someone liked Frederick.
entailment	Donna criticised Thomas.	Someone criticised Thomas.
entailment	Laura criticised Nick.	Someone criticised Nick.
entailment	Deborah met Jessica.	Someone met Jessica.
entailment	Michelle worked with Benjamin.	Someone worked with Benjamin.
entailment	Patricia praised Lauren.	Someone praised Lauren.
entailment	Ralph hired Bruce.	Someone hired Bruce.
entailment	Edwin played with Anna.	Someone played with Anna.
entailment	Arthur praised Susan.	Someone praised Susan.
entailment	Sue played with Anna.	Someone played with Anna.
entailment	Janet praised Alice.	Someone praised Alice.
entailment	Anne helped Bruce.	Someone helped Bruce.
entailment	Sam helped Judy.	Someone helped Judy.
