contradiction	Andrea has political science class then literature class then commerce class.	Literature class is before political science class.
contradiction	Martin has mathematics class then geology class then history class.	Geology class is before mathematics class.
contradiction	Charles has literature class then commerce class then economics class.	Commerce class is before literature class.
contradiction	Michael has art class then geology class then french class.	Geology class is before art class.
contradiction	Stephen has french class then history class then music class.	History class is before french class.
contradiction	Evelyn has art class then mathematics class then computer science class.	Mathematics class is before art class.
contradiction	Melissa has mathematics class then french class then history class.	French class is before mathematics class.
contradiction	Richard has history class then computer science class then mathematics class.	Computer science class is before history class.
contradiction	Jean has history class then political science class then geology class.	Political science class is before history class.
contradiction	Bill has geology class then physics class then music class.	Physics class is before geology class.
contradiction	Paul has literature class then mathematics class then political science class.	Mathematics class is before literature class.
contradiction	Ellen has biology class then economics class then latin class.	Economics class is before biology class.
contradiction	Nick has french class then history class then literature class.	History class is before french class.
contradiction	Adam has commerce class then art class then music class.	Art class is before commerce class.
contradiction	Tom has chemistry class then mathematics class then geography class.	Mathematics class is before chemistry class.
contradiction	Amy has geology class then chemistry class then commerce class.	Chemistry class is before geology class.
contradiction	Donald has physics class then biology class then political science class.	Biology class is before physics class.
contradiction	Nicole has french class then commerce class then history class.	Commerce class is before french class.
contradiction	Louis has history class then geology class then latin class.	Geology class is before history class.
contradiction	Caroline has mathematics class then art class then geology class.	Art class is before mathematics class.
contradiction	Ron has mathematics class then computer science class then economics class.	Computer science class is before mathematics class.
contradiction	Ed has chemistry class then latin class then geography class.	Latin class is before chemistry class.
contradiction	Charles has geography class then physics class then french class.	Physics class is before geography class.
contradiction	Catherine has biology class then mathematics class then latin class.	Mathematics class is before biology class.
contradiction	Charlie has art class then latin class then computer science class.	Latin class is before art class.
contradiction	Simon has mathematics class then geography class then history class.	Geography class is before mathematics class.
contradiction	Dorothy has commerce class then latin class then physics class.	Latin class is before commerce class.
contradiction	Tony has chemistry class then biology class then geography class.	Biology class is before chemistry class.
contradiction	Jane has history class then music class then geology class.	Music class is before history class.
contradiction	Charles has art class then music class then biology class.	Music class is before art class.
contradiction	Kate has literature class then art class then chemistry class.	Art class is before literature class.
contradiction	Amy has latin class then art class then history class.	Art class is before latin class.
contradiction	Helen has physics class then art class then geography class.	Art class is before physics class.
contradiction	Diana has biology class then political science class then economics class.	Political science class is before biology class.
contradiction	Brian has french class then literature class then computer science class.	Literature class is before french class.
contradiction	Dick has computer science class then latin class then political science class.	Latin class is before computer science class.
contradiction	Jessica has french class then art class then mathematics class.	Art class is before french class.
contradiction	Stephanie has chemistry class then computer science class then art class.	Computer science class is before chemistry class.
contradiction	Donald has latin class then literature class then economics class.	Literature class is before latin class.
contradiction	Florence has history class then chemistry class then political science class.	Chemistry class is before history class.
contradiction	Rebecca has art class then french class then computer science class.	French class is before art class.
contradiction	Carl has geography class then physics class then mathematics class.	Physics class is before geography class.
contradiction	Ian has commerce class then geography class then political science class.	Geography class is before commerce class.
contradiction	Emma has political science class then commerce class then geology class.	Commerce class is before political science class.
contradiction	William has history class then latin class then economics class.	Latin class is before history class.
contradiction	Jane has chemistry class then computer science class then music class.	Computer science class is before chemistry class.
contradiction	Fiona has physics class then history class then chemistry class.	History class is before physics class.
contradiction	Alex has literature class then music class then french class.	Music class is before literature class.
contradiction	Steven has computer science class then mathematics class then commerce class.	Mathematics class is before computer science class.
contradiction	Melissa has physics class then french class then economics class.	French class is before physics class.
contradiction	Katherine has latin class then physics class then french class.	Physics class is before latin class.
