text,labels
A crowd watches from inside as confetti falls on the street. //n A crowd is a kind of group of people.,0
A camper is sleeping in a tent. //n Sleeping is the opposite of taking a nap.,0
Blue is a kind of color. //n The woman's shirt is blue.,0
A man is trying to walk. //n If something is difficult then that something can be prevented from happening.,0
Animals are in the water. //n A person is a kind of animal.,0
A young woman is sweeping the floor of a kitchen. //n Sweeping is a kind of activity.,0
A woman has just climbed mount everest. //n Climbing a mountain is a kind of activity.,0
Two boys watch men fish from a house. //n Men catch fish with nets.,0
Two women are out walking in the street. //n If something is out walking in the street then that something is true.,0
Soccer players are playing in a field. //n A field is a kind of area.,0
The man is wearing a hat. //n A hat is a kind of color.,0
A person is a kind of object. //n If an object is alone then that object is alone.,0
They wanted to sit in the shade. //n A shady spot is a kind of place to sit.,0
A guy is sitting down. //n Sitting is a kind of position.,0
The woman is at home. //n Sleeping is when a human is at home.,0
Man drinks pop. //n Pepsi is a kind of pop.,0
A person walks his dog. //n A dog is a kind of animal.,0
People shop for ice cream in a small store. //n Ice cream is a kind of food.,0
The children are sitting at the table playing a game. //n Sitting is a kind of position.,0
There is something behind the blue car. //n If something is behind something else then that something else is behind that something.,0
A group of people are parading outside. //n The outdoor parading is indoors.,0
A cage is used for keeping animals in. //n An animal is a kind of animal.,0
The children are sitting in a classroom. //n A school bus is a kind of classroom.,0
The woman is sitting on a chair. //n A chair is a kind of object.,0
A woman is holding a book. //n A book is a kind of object.,0
An inflatable toy is a kind of toy. //n There are people around toys.,0
The ballerina is wearing a tutu. //n Tutu is a kind of color.,0
A man is walking into a building. //n A building is a kind of place.,0
Some people walk on sidewalks. //n A sidewalk is a kind of place.,0
A girl tackles a mannequin through a window. //n A mannequin is a kind of object.,0
A man falls asleep. //n If a thing falls asleep then that thing is asleep.,0
Amusement parks are for people to have fun. //n If something is for fun then that something is at an amusement park.,0
There is a white shirt with the number 4 on it. //n There are numerous accessories.,0
A performer plays the banjo on the city street. //n A banjo is a kind of musical instrument.,0
A woman sits quietly. //n Sitting is a kind of position.,0
Nobody is wearing a hard hat. //n If something is required for something else then that something is not required for that something else.,0
A bike thief walks silently in an alley. //n If something is done silently then that something is not seen.,0
There is a female reporter. //n A reporter is a kind of person.,0
A musician plays their instrument. //n If a musician plays an instrument then that musician touches that instrument.,0
A girl is climbing a ladder. //n A ladder is a kind of climbing rope.,0
A boy is climbing a tree. //n Climbing is a kind of activity.,0
The man sits down on his couch. //n A couch is a kind of vehicle for sitting down.,0
