text,labels
a woman walks under the shade of her umbrella. //n the woman is walking under the umbrella,0
the hiker is walking up a snow covered hill with a black dog. //n a person is walking a dog,0
a woman in a brown sweater is sewing on her machine. //n a woman is sewing,0
a yellow and brown dog is going to the bathroom outside. //n a dog is going to the bathroom outside,0
one person and a dog in a kayak //n the person is in a kayak with their dog,0
man gathers paper near a structure made of wood covered with paper and graffiti. //n mann gathers paper near a structure made of wood,0
a light colored dog with blue leash attached is sitting in a vehicle. //n a light colored dog is sitting in a vehicle,0
two people sit on a bench and watch a boat on the water. //n two people sit on a bench and watch a boat on the water,0
a girl is bouncing on her head on a trampoline. //n a girl is jumping,0
a woman with a baby browses in a bookstore. //n a woman and a baby are at a bookstore,0
a group of people sitting at a sporting event. //n several people are sitting,0
a man with his feet up using a telephone. //n a man using a telephone,0
a man with a gas mask and goggles on his head. //n the man with gas mask and goggles on his head,0
a black man in a suit and tie sitting behind a drum set with sheet music in front of it. //n a man sits behind a drum set,0
a gray car waits for the light to turn green at an intersection. //n a car waits for the light to turn green at a crosswalk,0
four men and a small boy sitting around an indoor fire. //n four men and a small boy are sitting around a fire,0
a woman in a blue plaid shirt and sunglasses scratches her face as she walks down the street. //n a woman in a blue plaid shirt and sunglasses scratches her face as she walks down the street,0
a man is selling fish in a blue booth. //n a man is selling fish in a blue booth,0
one of the tennis players is picking something out of his racket. //n one of the tennis players is picking something out of his racket,0
"three people, two in black and one in yellow, are seated on a wooden bench, only their heads and shoulders visible, in front of a sign for a furniture showroom & restaurant. //n three people are sitting on a bench in front of a sign",0
a gathering of people standing by a stage. //n people are gathering by a stage,0
two white dogs play on the green grass. //n the two white dogs play outside,0
someone fires a gun at a indoor shooting range. //n someone fires a gun at a range,0
two people are hiking in a mountainous region. //n two people are hiking,0
a lady is kneeling wearing a blue shirt. //n a lady in a blue shirt,0
"a team is huddled up on the playing field, wearing blue shirts and blue and red shorts. //n the players are wearing blue shirts",0
"a woman in black tights, a white dress, and black jacket, is walking down a sidewalk with an empty street behind her. //n a woman walks down a sidewalk",0
a man looks through a telescope on a street corner. //n a man looks through a telescope on a corner,0
the wall in front of the bed is mirrored. //n the wall in front of me is mirrored,0
a male restaurant employees are grilling burgers and cheese. //n a male restaurant employee is cooking food,0
a man wearing a tie is talking to two women. //n the man wearing a tie is talking to someone,0
a brown dog at the edge of a body of water surrounded by snow. //n a dog stands by an area with snow on it,0
a large yellow vehicle leads two others in a race. //n a large yellow vehicle leads another,0
woman with dark hair sits on train. //n a dark haired woman is on a train,0
a man in black pants and shirt is holding a guitar and standing next to a microphone in front of a pink background. //n a man in black jeans and shirt is holding a guitar and standing next to a microphone,0
"a man wearing a belt, a tan jacket and brown shoes is walking next to a woman with a brown purse, a black outfit, and sunglasses on a sidewalk. //n a man wearing a belt tan jacket and brown shoes is walking next to a woman with a brown purse a black outfit and sunglasses",0
four dogs two brown and two white playing in the grass. //n four dogs two brown and two white playing,0
a parade in which there is a woman dressed in white on stilts. //n a woman dressed in white floats through a crowd,0
a female wear a headdress is weaving a rug. //n a woman in dress is weaving a rug,0
"a shirtless black man holds two caucasian blonds, while one girl holds his head in her hands. //n a black man holds two caucasian blonds",0
a group of men looking at clothing. //n a group of men are looking at clothing,0
there is a man who is arranging large metal dishes in a large rusty vat of liquid. //n there is a man who is arranging large metal dishes in a large rusty pot,0
a city winter scene with a group of people skating on an outdoor skating area. //n a winter scene with a group of people skating,0
a boy in a gray hooded sweatshirt is throwing away a bag of garbage into a green dumpster. //n a boy in a gray hooded sweatshirt is throwing away a garbage bag,0
a woman in a red backpack stands in a valley looking out at the mountains. //n a woman in a backpack stands in a valley looking out at the mountains,0
a woman selling bamboo sticks or brooms talking to two men on a loading dock. //n a woman selling bamboo sticks or brooms,0
the children are talking and playing in the street. //n the children are talking in the street,0
men build castle-like sculptures out of dark sand by the shore. //n men build castles out of sand by the shore,0
a man is in his most aerodynamic position during a bicycle race. //n the man is in a bike race,0
a man is outside and pulling on his arm. //n a man is outside and pulling on a bare arm,0
a large yellow machine is putting things in large metal containers. //n a large yellow machine is putting things in large metal boxes,0
an elderly african-american man in a yellow shirt is standing in front of an information stand. //n an africanamerican man is standing in front of an information stand,0
two women playing musical instruments; one plays violin and the other play a wind instrument. //n two women playing violins,0
a woman in a brown knee length skirt and a silk brown button up shirt is sitting on a stone bench at a art gallery fixing her skirt. //n a woman is wearing a brown skirt,0
"hanley ramirez slid into third base, but he was tagged as being out. //n hanley ramirez slid into third base but he was tagged as being out",0
two male skaters walk on sidewalk //n two male skaters walk on sidewalk,0
two men in a relaxed office setting and they are both looking at their computers and one has their feet propped up on the desk. //n two men are sitting in an office looking at their computers and one has their foot propped on the desk,0
a man in blue coveralls working at a fish market. //n a man in blue coveralls is at a market,0
a person dressed as a court jester during a theatrical performance. //n a person dressed as a court jester,0
a woman in white is pointed at by a sign on the road saying look right. //n a woman in white is pointed at by a sign on the road,0
a dog has a tennis ball in its mouth. //n the dog has an object in its mouth,0
young professional man using his notebook phone at a subway platform. //n a young professional man uses his telephone at a subway platform,0
the beagle is on a beach walking along the shoreline //n a beagle is walking along the beach,0
a woman is buying something at the market. //n a woman is buying something,0
the crusaders are marching along the road. //n the crusaders are marching along,0
there are lots of people sitting down and walking around on concrete. //n there are lots of people sitting down,0
workers work on a train tunnel that goes form wembley park to stanmore. //n workers work on a tunnel that goes from wembley park to stanmore,0
a constructions worker scratches his backside and stands with his backside towards the viewer observing a construction site. //n a construction worker is scratching his backside as he stands towards an observer,0
a toddler wearing bright colors is using a stick to poke something inside a pool. //n a toddler in bright colors pokes something in the pool,0
a woman in a white sleeveless t-shirt is ordering food at a bakery. //n a woman in a tshirt ordering food,0
a dog is bringing a little soccer ball onto a human bed. //n a dog is carrying a ball onto the human bed,0
two laughing girls swing in a tire swing. //n two girls swing in a tire swing,0
a very smiling baby sitting down wearing a striped jacket on a bed. //n a baby is seated on a bed,0
an older man and younger boy walk by the opening of a tent in a rural area. //n a man and a boy are walking by a tent,0
a woman with long dark hair standing in front of a window. //n a woman with long dark hair standing outside a window,0
a motocross bike rider is riding his bike through a quarry. //n a biker is riding through a quarry,0
"a group of people listening to a man speak from a booth labeled ""teva neuroscience"". //n a group of people are listening to a man speak from a booth labeled teva neuroscience",0
a woman in a white shirt looking through a microscope. //n a person in a white shirt looking through a microscope,0
two dogs are wrestling in a field. //n two dogs are wrestling in a field,0
three guys and a girl are all jumping in a pool together. //n people are jumping into the pool,0
"a street performer stands in an ornate, green, harlequin costume while another street performer stands in an ornate, blue, harlequin costume. //n a street performer and a harlequin performer are standing next to each other",0
"a man, perched on a chair on a table, makes a cell call as he receives a shoeshine. //n a man makes a phone call as he receives a shoe shine",0
a large flock of pigeons is swarming at a man. //n a man is being swarmed by several pigeons,0
people helping a person in black shorts and red top who is hurt. //n people helping a man in shorts and red top,0
a boy in a green t-shirt is riding on a segway //n a boy in a green tshirt is riding the segway,0
a man in a furry white coat plays guitar while another man sings through a microphone. //n a man in a furry white coat plays guitar and another man sings,0
a woman in a black jacket walking in black boots and jeans with a brown handbag on her shoulder. //n a woman in a black jacket walks with a brown handbag on her shoulder,0
a man in a blue shirt holds up a protest sign. //n a man in a blue shirt holds an object,0
two people walk out onto the desert sand. //n two people walk onto the desert sand,0
the parade of nations at the opening games of the olympics. //n the parade of nations at the opening games of the olympics,0
a group of people watching a snowboarder perform a trick. //n a group of people watching a snowboarder perform a trick,0
a bunch of people walking down a set of stairs. //n a bunch of people walking down a set of stairs,0
five adults and a child are laughing and smiling as they visit in a home of a relative or friend. //n five adults and a child are laughing and smiling at their home,0
a man in a colorful button-up t-shirt is pouring what appears to be barbecue sauce onto something. //n a man is putting barbecue sauce on something,0
a girl stands in the train tracks. //n a girl stands in the train tracks,0
a brown and white dog barking through the fence at smaller black and white dog. //n a brown dog barking through the fence at smaller black dog,0
