text,labels
"a man in a cap and red, blue, and white jacket looks off to the left while people are milling about behind him. //n a man in a cap and red blue and white jacket looks off to the left",0
a man wearing a yellow safety vest helps prepare an airplane. //n a man wearing a yellow vest helps prepare an airplane,0
a boy in pajama pants playing a guitar. //n a boy in pajamas playing guitar,0
a couple walks under an arch in a narrow street with balconies. //n a couple walks under an arch,0
"two men walking down a street with cars parked on the street beside them, one man is wearing a blue shirt and white pants and the other man is wearing a gray sweatshirt with black pants. //n two men are walking down the street",0
a man tied to ropes scaling a building. //n a man climbs a building,0
a woman is standing on the sidewalk late in the evening. //n a woman is standing on the sidewalk,0
"an african woman with piercings, lots of necklaces and corn on her head. //n an african woman with piercings necklaces and corn on her head",0
"a young woman in white pants, boots, and an olive green coat passes by a market while a street musician plays electric guitar behind her. //n a woman in white pants boots and an olive green coat passes by a market that provides entertainment",0
a basketball player in a red and blue uniform is shooting a basketball on a basketball court while four men in red shirts look on. //n a basketball player in a red and blue uniform is shooting a basketball on a court,0
a woman in a white dress holding a bunch of red flowers. //n a white woman holding a bunch of flowers,0
"father in white shirt and khaki shorts tenderly kisses his son, seen wearing a dark red shirt and denim pants, on the head as they share a quiet moment while sitting in the doorway of a van. //n a father in white shirt and jeans kisses his son on the head as the two share a quiet moment",0
"a formation on a big field with people wearing red, white and blue //n a formation of people wearing red white and blue appeared on the field",0
the two boys playing guitar //n two boys are playing an instrument,0
a woman in shorts and a white top is taking a picture with a digital camera as a young man watches. //n a woman is wearing shorts and a white top taking pictures,0
there is a group of people standing around including what appears to be a person in a bear costume with the head in their hand. //n there is a person in a bear costume,0
girl in pink bathing suit and man in black shorts jump in water at the beach. //n girl in pink bathing suit and man in black shorts jump in water,0
a person rides a motorcycle on a racetrack. //n a person rides a motorcycle on a racetrack,0
two people in odd outfits are standing by a glass door. //n two people in odd outfits are standing by a door,0
"three musicians wearing leather are performing on a stage, including a guy with a guitar, and two singers. //n a guy and two singers are performing on a stage",0
a bicyclist is focused on his ride as he passes a lake surrounded by hills. //n a bicyclist is focused on his ride as he passes a lake,0
a man in a red jacket and a child with a mohawk dig with shovels at a park near the beach. //n a man in a red jacket digs with shovels at a park near the beach,0
four women wearing energizer bunny ears point to an attraction. //n four people wearing bunny ears point to an attraction,0
several uniformed men carrying flags and guns are leading a parade contingent along a small town street. //n several uniformed men are leading a marching group,0
a man wearing no shirt is walking next to a black pick up truck. //n a man wearing no shirt is walking,0
a construction crew works on the street. //n there is a group working on the street,0
a young woman waits on a busy street at night. //n a young woman waits on a busy road,0
construction workers work on a road into the night. //n workers are working on a road,0
a dog runs for a tennis ball in a backyard with a tile courtyard. //n a dog runs in a backyard with a courtyard,0
a team celebrates a victory. //n a team celebrates a win,0
a big gray dog wearing a chain collar has a smaller brown dog pinned down. //n a gray dog wearing a chain collar has a brown dog pinned down,0
a man is sitting along the beach playing a guitar. //n a man is sitting along the beach,0
"a man in shorts, on a bicycle, rides along side a wave-crashing waterfront while his leashed dog is to his right hand side. //n a young man in shorts rides a bicycle along a wavecrashing shoreline",0
a young girl in a red top is looking at a woman in a black jacket. //n a girl in a red top is looking at a woman in a black jacket,0
a guy performing a song shirtless with a tattoo of a safety pen on his body with a second tattoo on his body. //n a guy singing shirtless with a tattoo of a pen on his body,0
a man is skateboarding in front of a group of people. //n a man skateboards in front of people,0
"a festival is going on right outside a lake, with several drummers in red shirts and a man on stilts playing the drums. //n a festival is going on right outside a lake",0
a woman in a black jacket and tan boots is walking on the street in front of a group of people. //n a woman in a black jacket is walking on the street,0
a woman wearing all black and carrying a black bag on sidewalk //n a woman wearing all black and carrying a black bag on sidewalk,0
a woman in a white shirt and a skirt is singing into a microphone. //n a woman in a white shirt and skirt is singing into a microphone,0
"four people are standing next to a brick wall and the man is holding a sign that reads ""prayer booth"" //n there are four people standing next to a brick wall",0
a man sitting on a beach working with netting. //n a man sitting on a beach,0
a man with his feet up using a telephone. //n a man using a telephone,0
"a man on horseback chases, and attempts to lasso, a young calf. //n a man on horseback chases and attempts to lasso a young cow",0
a man and a young boy are sitting on a step eating oranges. //n a man and a young boy are sitting on a step,0
a crowded intersection on a cold rainy day. //n a crowded intersection on a rainy day,0
man riding his bike pass a ship. //n man riding his bike pass a ship,0
a male bicyclist wearing a blue helmet is out for a ride in the outdoors. //n a male bicyclist is in the outdoors,0
a group of people sit together near the stairs of a monument. //n a group of people sit near a monument,0
two men and a woman standing near a doorway. //n two men and a woman standing,0
"a little girl is holding a colorful end war ron paul sign, some adults are also standing near her in the picture. //n there is a little girl holding a sign",0
a man is surfing in a bodysuit in beautiful blue water. //n a man is surfing,0
a person is standing in shallow water with a fishing net as the sun goes down. //n a person is standing in shallow water as the sun goes down,0
a man in a dress shirt wiping the window of an american airlines airplane. //n a man in a dress shirt wiping the window of an airplane,0
two men play their instruments while a third sings. //n a man plays an instrument while a third sings,0
"number 32, on the burgundy team is fighting for possession of the basketball with an opposing team member, while his other two teammates guard the other opposing teammate. //n number 32 is on the burgundy team defending a basket",0
a man in a checkered welder's helmet is working in a workshop. //n a man is wearing a welders helmet,0
many people look over a railing to see what is below them in a busy area. //n many people look over a railing,0
a young girl posing for a photo while standing in a tree. //n a young girl poses while standing in a tree,0
two firefighters are standing next to a firetruck. //n two firefighters are standing,0
a guy mowing a lawn on his tractor //n a tractor is being used for mowing a lawn by a guy,0
"a person wearing a red, white, and blue helmet sitting on a motorcycle. //n a person wearing a helmet is sitting on a motorcycle",0
the skier is jumping over a snowy mound in front of a pine tree. //n the skier is jumping over a snowy mound,0
a child and an adult looking at each other. //n a child and a person look at each other,0
"two guys, one in white and the other in blue, are wrestling in the office area of a work place with three other guys watching t //n two guys are wrestling in the office area of a work place surrounded by other people",0
a man wearing all black is working on a carving out of marble. //n a man in all black is carving out a stone,0
small long-haired child trying to clean a window. //n small girl trying to clean a window,0
three people sitting at a round table are looking at another man pointing at something written on the wall. //n three people are sitting at a round table are looking at a man standing near a wall,0
